
      endpoint,ingressProtected,egressProtected,envoyEnabled,appliedPolicies,services
Pod.v1(calico-system/csi-node-driver-2zrh6),true,true,false,NetworkPolicy(calico-system/allow-tigera.default-deny),
Pod.v1(hipstershop/shippingservice-569b68c957-kdkll),false,false,false,,Service.v1(hipstershop/shippingservice)
Pod.v1(management-ui/management-ui-69f9d7459c-psqfv),true,true,false,NetworkPolicy(management-ui/namespace-isolation.management-ui-jsrht),Service.v1(management-ui/management-ui)
Pod.v1(tigera-system/tigera-apiserver-58c99bdc49-hj8pd),true,true,false,NetworkPolicy(tigera-system/allow-tigera.cnx-apiserver-access),Service.v1(tigera-system/tigera-api)
Pod.v1(tigera-prometheus/alertmanager-calico-node-alertmanager-2),true,true,false,NetworkPolicy(tigera-prometheus/allow-tigera.calico-node-alertmanager);NetworkPolicy(tigera-prometheus/allow-tigera.default-deny);NetworkPolicy(tigera-prometheus/allow-tigera.calico-node-alertmanager-mesh),Service.v1(tigera-prometheus/calico-node-alertmanager);Service.v1(tigera-prometheus/alertmanager-operated)
Pod.v1(hipstershop/productcatalogservice-797b6d8875-5gm7v),false,false,false,,Service.v1(hipstershop/productcatalogservice)
Pod.v1(client/client-66bd6b65d5-hmp72),false,false,false,,Service.v1(client/client)
Pod.v1(calico-system/calico-node-kv26q),true,true,false,NetworkPolicy(calico-system/allow-tigera.default-deny),Service.v1(calico-system/calico-typha);Service.v1(calico-system/calico-node-metrics)
Pod.v1(tigera-prometheus/prometheus-calico-node-prometheus-0),true,true,false,NetworkPolicy(tigera-prometheus/allow-tigera.prometheus);NetworkPolicy(tigera-prometheus/allow-tigera.default-deny),Service.v1(tigera-prometheus/prometheus-http-api)
Pod.v1(hipstershop/paymentservice-776d8b5ddc-4s2c9),false,false,false,,Service.v1(hipstershop/paymentservice)
Pod.v1(hipstershop/currencyservice-795bd6d957-rqcld),false,false,false,,Service.v1(hipstershop/currencyservice)
Pod.v1(tigera-intrusion-detection/intrusion-detection-controller-b7569fcbb-f6789),true,true,false,NetworkPolicy(tigera-intrusion-detection/allow-tigera.intrusion-detection-controller-cloud);NetworkPolicy(tigera-intrusion-detection/allow-tigera.default-deny);NetworkPolicy(tigera-intrusion-detection/allow-tigera.intrusion-detection-controller),
Pod.v1(tigera-system/tigera-apiserver-58c99bdc49-cvtqk),true,true,false,NetworkPolicy(tigera-system/allow-tigera.cnx-apiserver-access),Service.v1(tigera-system/tigera-api)
Pod.v1(calico-system/l7-log-collector-rg92w),true,true,false,NetworkPolicy(calico-system/allow-tigera.default-deny),Service.v1(calico-system/calico-node-metrics);Service.v1(calico-system/calico-typha)
Pod.v1(tigera-fluentd/fluentd-node-25bnx),true,true,false,NetworkPolicy(tigera-fluentd/allow-tigera.allow-fluentd-node),Service.v1(tigera-fluentd/fluentd-metrics)
Pod.v1(tigera-fluentd/fluentd-node-pvt8x),true,true,false,NetworkPolicy(tigera-fluentd/allow-tigera.allow-fluentd-node),Service.v1(tigera-fluentd/fluentd-metrics)
Pod.v1(tigera-compliance/compliance-controller-5f594b7d5d-qqfsd),true,true,false,NetworkPolicy(tigera-compliance/allow-tigera.default-deny);NetworkPolicy(tigera-compliance/allow-tigera.compliance-access),
Pod.v1(kube-system/coredns-668fcd785b-58qnc),true,true,false,NetworkPolicy(kube-system/allow-tigera.cluster-dns);NetworkPolicy(kube-system/allow-tigera.calico-cloud-cluster-dns),Service.v1(kube-system/kube-dns)
Pod.v1(tigera-compliance/compliance-snapshotter-9d79bdcb6-7x799),true,true,false,NetworkPolicy(tigera-compliance/allow-tigera.default-deny);NetworkPolicy(tigera-compliance/allow-tigera.compliance-access),
Pod.v1(calico-system/l7-log-collector-p72p6),true,true,false,NetworkPolicy(calico-system/allow-tigera.default-deny),Service.v1(calico-system/calico-node-metrics)
Pod.v1(tigera-prometheus/calico-prometheus-operator-6f84bb949f-rh48r),true,true,false,NetworkPolicy(tigera-prometheus/allow-tigera.default-deny),
Pod.v1(hipstershop/cartservice-8fb89866b-fmr6r),false,false,false,,Service.v1(hipstershop/cartservice)
Pod.v1(calico-cloud/cc-core-operator-f7f567886-sgn47),true,true,false,NetworkPolicy(calico-cloud/allow-tigera.default-deny);NetworkPolicy(calico-cloud/allow-tigera.calico-cloud-apiserver-access),
Pod.v1(kube-system/coredns-668fcd785b-xvvp5),true,true,false,NetworkPolicy(kube-system/allow-tigera.cluster-dns);NetworkPolicy(kube-system/allow-tigera.calico-cloud-cluster-dns),Service.v1(kube-system/kube-dns)
Pod.v1(hipstershop/emailservice-84fddd88-d5pmg),false,false,false,,Service.v1(hipstershop/emailservice)
Pod.v1(hipstershop/checkoutservice-8696b767d9-4m7cg),false,false,false,,Service.v1(hipstershop/checkoutservice)
Pod.v1(kube-system/aws-node-7p7zx),false,false,false,,Service.v1(calico-system/calico-node-metrics)
Pod.v1(tigera-guardian/tigera-guardian-6db8f6c7b9-v2nnz),true,true,false,NetworkPolicy(tigera-guardian/allow-tigera.default-deny);NetworkPolicy(tigera-guardian/allow-tigera.guardian-access),Service.v1(tigera-guardian/tigera-guardian);Service.v1(tigera-guardian/tigera-bast-to-guardian-proxy)
Pod.v1(calico-cloud/tigera-runtime-security-operator-6b9484f478-9zqqt),true,true,false,NetworkPolicy(calico-cloud/allow-tigera.calico-cloud-apiserver-access);NetworkPolicy(calico-cloud/allow-tigera.default-deny),
Pod.v1(calico-system/calico-kube-controllers-5669d98dc7-mqhpb),true,true,false,NetworkPolicy(calico-system/allow-tigera.default-deny);NetworkPolicy(calico-system/allow-tigera.kube-controller-access),Service.v1(calico-system/calico-kube-controllers-metrics)
Pod.v1(tigera-runtime-security/runtime-reporter-qkvw8),true,true,false,NetworkPolicy(tigera-runtime-security/allow-tigera.runtimesecurity-access);NetworkPolicy(tigera-runtime-security/allow-tigera.default-deny),
Pod.v1(tigera-compliance/compliance-benchmarker-pkdm5),true,true,false,NetworkPolicy(tigera-compliance/allow-tigera.default-deny);NetworkPolicy(tigera-compliance/allow-tigera.compliance-access),
Pod.v1(kube-system/aws-node-hnlqh),false,false,false,,Service.v1(calico-system/calico-typha);Service.v1(calico-system/calico-node-metrics)
Pod.v1(calico-system/calico-typha-5b7c577769-dqktv),true,true,false,NetworkPolicy(calico-system/allow-tigera.default-deny),Service.v1(calico-system/calico-node-metrics);Service.v1(calico-system/calico-typha)
Pod.v1(tigera-packetcapture/tigera-packetcapture-5c48d77f59-lnv8n),true,true,false,NetworkPolicy(tigera-packetcapture/allow-tigera.tigera-packetcapture),Service.v1(tigera-packetcapture/tigera-packetcapture)
Pod.v1(tigera-runtime-security/runtime-reporter-rd2fx),true,true,false,NetworkPolicy(tigera-runtime-security/allow-tigera.default-deny);NetworkPolicy(tigera-runtime-security/allow-tigera.runtimesecurity-access),
Pod.v1(tigera-operator/tigera-operator-855cbd4f94-lnxs4),false,false,false,,Service.v1(calico-system/calico-typha);Service.v1(calico-system/calico-node-metrics)
Pod.v1(calico-cloud/tigera-image-assurance-operator-5d8d876b78-48dd6),true,true,false,NetworkPolicy(calico-cloud/allow-tigera.default-deny);NetworkPolicy(calico-cloud/allow-tigera.calico-cloud-apiserver-access),
Pod.v1(hipstershop/loadgenerator-5cfbd547cf-cczgj),false,false,false,,
Pod.v1(tigera-prometheus/alertmanager-calico-node-alertmanager-0),true,true,false,NetworkPolicy(tigera-prometheus/allow-tigera.calico-node-alertmanager);NetworkPolicy(tigera-prometheus/allow-tigera.default-deny);NetworkPolicy(tigera-prometheus/allow-tigera.calico-node-alertmanager-mesh),Service.v1(tigera-prometheus/calico-node-alertmanager);Service.v1(tigera-prometheus/alertmanager-operated)

